Namespace(data_dirs=['/misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/A', '/misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ava_test', '/misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ava_trainval', '/misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/kcam', '/misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/P01', '/misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/P02', '/misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/P03', '/misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/P04', '/misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/P06', '/misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/P07', '/misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/P09', '/misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/P11', '/misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/P12', '/misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/P22', '/misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/P23', '/misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/P25', '/misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/P26', '/misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/P27', '/misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/P28', '/misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/P30', '/misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/P33', '/misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/P34', '/misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/P35', '/misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/P36', '/misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/P37', '/misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/S', '/misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/UT_ego', '/misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/Y', '/misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d'], dataset_name='sayavakepicutego4d', filekey=False, maxcount=1000000.0, maxsize=1e+16, shards='/misc/vlgscratch4/LakeGroup/emin/')
# of images 17958947
# writing /misc/vlgscratch4/LakeGroup/emin/sayavakepicutego4d_000000.tar 0 0.0 GB 0
counter, i, fname, cls 0 3323938 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ava_trainval/class_1837/img_0250.jpeg 11094
counter, i, fname, cls 180000 11383196 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000003/img_01361130.jpeg 14177
counter, i, fname, cls 190000 5983478 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000000/img_01735991.jpeg 14174
counter, i, fname, cls 200000 17718093 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/kcam/class_0054/img_0259.jpeg 14239
counter, i, fname, cls 210000 17614288 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000010/img_00170138.jpeg 14184
counter, i, fname, cls 220000 10507007 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000003/img_00484941.jpeg 14177
counter, i, fname, cls 230000 11599801 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000004/img_00198909.jpeg 14178
counter, i, fname, cls 240000 17358716 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000009/img_01179470.jpeg 14183
counter, i, fname, cls 250000 5910553 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000000/img_01663066.jpeg 14174
counter, i, fname, cls 260000 6762952 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000000/img_02515465.jpeg 14174
counter, i, fname, cls 270000 13117477 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000006/img_00006213.jpeg 14180
counter, i, fname, cls 280000 10876761 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000003/img_00854695.jpeg 14177
counter, i, fname, cls 290000 10085309 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000003/img_00063243.jpeg 14177
counter, i, fname, cls 300000 10615825 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000003/img_00593759.jpeg 14177
counter, i, fname, cls 310000 8954977 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000002/img_00154004.jpeg 14176
counter, i, fname, cls 320000 3159887 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ava_trainval/class_1290/img_0299.jpeg 10547
counter, i, fname, cls 330000 1393100 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/S/class_2064/img_0211.jpeg 4656
counter, i, fname, cls 340000 2022622 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/Y/class_1488/img_0066.jpeg 6756
counter, i, fname, cls 350000 10155693 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000003/img_00133627.jpeg 14177
counter, i, fname, cls 360000 3519248 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ava_trainval/class_2488/img_0260.jpeg 11745
counter, i, fname, cls 370000 5768237 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000000/img_01520750.jpeg 14174
counter, i, fname, cls 380000 1695554 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/Y/class_0397/img_0298.jpeg 5665
counter, i, fname, cls 390000 16707516 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000009/img_00528270.jpeg 14183
counter, i, fname, cls 400000 13185572 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000006/img_00074308.jpeg 14180
counter, i, fname, cls 410000 16699696 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000009/img_00520450.jpeg 14183
counter, i, fname, cls 420000 16464668 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000009/img_00285422.jpeg 14183
counter, i, fname, cls 430000 5755623 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000000/img_01508136.jpeg 14174
counter, i, fname, cls 440000 1040917 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/S/class_0890/img_0228.jpeg 3482
counter, i, fname, cls 450000 2469777 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ava_test/class_1330/img_0049.jpeg 8247
counter, i, fname, cls 460000 12135119 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000005/img_00509596.jpeg 14179
counter, i, fname, cls 470000 14601355 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000006/img_01490091.jpeg 14180
counter, i, fname, cls 480000 4035481 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ava_trainval/class_4209/img_0193.jpeg 13466
counter, i, fname, cls 490000 6756799 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000000/img_02509312.jpeg 14174
counter, i, fname, cls 500000 9653019 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000002/img_00852046.jpeg 14176
counter, i, fname, cls 510000 15948881 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000008/img_00729615.jpeg 14182
counter, i, fname, cls 520000 16602855 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000009/img_00423609.jpeg 14183
counter, i, fname, cls 530000 17591744 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000010/img_00147594.jpeg 14184
counter, i, fname, cls 540000 2646895 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ava_test/class_1920/img_0167.jpeg 8837
counter, i, fname, cls 550000 14837866 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000007/img_00232633.jpeg 14181
counter, i, fname, cls 560000 10821413 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000003/img_00799347.jpeg 14177
counter, i, fname, cls 570000 7888808 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000000/img_03641321.jpeg 14174
counter, i, fname, cls 580000 12330528 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000005/img_00705005.jpeg 14179
counter, i, fname, cls 590000 7022071 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000000/img_02774584.jpeg 14174
counter, i, fname, cls 600000 9321755 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000002/img_00520782.jpeg 14176
counter, i, fname, cls 610000 4042087 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ava_trainval/class_4231/img_0199.jpeg 13488
counter, i, fname, cls 620000 17412850 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000009/img_01233604.jpeg 14183
counter, i, fname, cls 630000 6017285 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000000/img_01769798.jpeg 14174
counter, i, fname, cls 640000 2274569 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ava_test/class_0679/img_0141.jpeg 7596
counter, i, fname, cls 650000 3779970 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ava_trainval/class_3357/img_0282.jpeg 12614
counter, i, fname, cls 660000 3065763 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ava_trainval/class_0977/img_0075.jpeg 10234
counter, i, fname, cls 670000 7456615 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000000/img_03209128.jpeg 14174
counter, i, fname, cls 680000 11737377 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000005/img_00111854.jpeg 14179
counter, i, fname, cls 690000 17058962 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000009/img_00879716.jpeg 14183
counter, i, fname, cls 700000 15671318 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000008/img_00452052.jpeg 14182
counter, i, fname, cls 710000 653213 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/P22/class_0076/img_0298.jpeg 2183
counter, i, fname, cls 720000 13168335 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000006/img_00057071.jpeg 14180
counter, i, fname, cls 730000 12197456 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000005/img_00571933.jpeg 14179
counter, i, fname, cls 740000 1649285 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/Y/class_0243/img_0229.jpeg 5511
counter, i, fname, cls 750000 17535395 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000010/img_00091245.jpeg 14184
counter, i, fname, cls 760000 2887554 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ava_trainval/class_0383/img_0066.jpeg 9640
counter, i, fname, cls 770000 2638194 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ava_test/class_1891/img_0166.jpeg 8808
counter, i, fname, cls 780000 5717044 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000000/img_01469557.jpeg 14174
counter, i, fname, cls 790000 13965517 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000006/img_00854253.jpeg 14180
counter, i, fname, cls 800000 16296074 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000009/img_00116828.jpeg 14183
counter, i, fname, cls 810000 4242749 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ava_trainval/class_4900/img_0161.jpeg 14157
counter, i, fname, cls 820000 11240301 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000003/img_01218235.jpeg 14177
counter, i, fname, cls 830000 16870921 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000009/img_00691675.jpeg 14183
counter, i, fname, cls 840000 10715520 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000003/img_00693454.jpeg 14177
counter, i, fname, cls 850000 4384773 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000000/img_00137286.jpeg 14174
counter, i, fname, cls 860000 3812002 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ava_trainval/class_3464/img_0214.jpeg 12721
counter, i, fname, cls 870000 5737322 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000000/img_01489835.jpeg 14174
counter, i, fname, cls 880000 2249300 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ava_test/class_0595/img_0072.jpeg 7512
counter, i, fname, cls 890000 6929809 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000000/img_02682322.jpeg 14174
counter, i, fname, cls 900000 11095744 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000003/img_01073678.jpeg 14177
counter, i, fname, cls 910000 12272216 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000005/img_00646693.jpeg 14179
counter, i, fname, cls 920000 6739344 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000000/img_02491857.jpeg 14174
counter, i, fname, cls 930000 1595165 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/Y/class_0063/img_0109.jpeg 5331
counter, i, fname, cls 940000 10661948 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000003/img_00639882.jpeg 14177
counter, i, fname, cls 950000 7603685 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000000/img_03356198.jpeg 14174
counter, i, fname, cls 960000 11682731 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000005/img_00057208.jpeg 14179
counter, i, fname, cls 970000 14176194 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000006/img_01064930.jpeg 14180
counter, i, fname, cls 980000 371474 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/A/class_1238/img_0074.jpeg 1238
counter, i, fname, cls 990000 8821201 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000002/img_00020228.jpeg 14176
# writing /misc/vlgscratch4/LakeGroup/emin/sayavakepicutego4d_000001.tar 1000000 380.8 GB 1000000
counter, i, fname, cls 1000000 898627 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/S/class_0416/img_0138.jpeg 3008
counter, i, fname, cls 1010000 3679732 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ava_trainval/class_3023/img_0244.jpeg 12280
counter, i, fname, cls 1020000 5172529 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000000/img_00925042.jpeg 14174
counter, i, fname, cls 1030000 10227531 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000003/img_00205465.jpeg 14177
counter, i, fname, cls 1040000 1666799 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/Y/class_0302/img_0043.jpeg 5570
counter, i, fname, cls 1050000 1510102 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/S/class_2454/img_0213.jpeg 5046
counter, i, fname, cls 1060000 614913 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/P11/class_0019/img_0202.jpeg 2054
counter, i, fname, cls 1070000 10148560 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000003/img_00126494.jpeg 14177
counter, i, fname, cls 1080000 8866542 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000002/img_00065569.jpeg 14176
counter, i, fname, cls 1090000 6391278 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000000/img_02143791.jpeg 14174
counter, i, fname, cls 1100000 13506230 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000006/img_00394966.jpeg 14180
counter, i, fname, cls 1110000 5884698 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000000/img_01637211.jpeg 14174
counter, i, fname, cls 1120000 14119513 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000006/img_01008249.jpeg 14180
counter, i, fname, cls 1130000 15275833 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000008/img_00056567.jpeg 14182
counter, i, fname, cls 1140000 15585800 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000008/img_00366534.jpeg 14182
counter, i, fname, cls 1150000 15939110 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000008/img_00719844.jpeg 14182
counter, i, fname, cls 1160000 3251971 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ava_trainval/class_1597/img_0283.jpeg 10854
counter, i, fname, cls 1170000 1314408 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/S/class_1802/img_0119.jpeg 4394
counter, i, fname, cls 1180000 16135905 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000008/img_00916639.jpeg 14182
counter, i, fname, cls 1190000 11181765 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000003/img_01159699.jpeg 14177
counter, i, fname, cls 1200000 4685675 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000000/img_00438188.jpeg 14174
counter, i, fname, cls 1210000 7769741 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000000/img_03522254.jpeg 14174
counter, i, fname, cls 1220000 16620408 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000009/img_00441162.jpeg 14183
counter, i, fname, cls 1230000 15500574 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000008/img_00281308.jpeg 14182
counter, i, fname, cls 1240000 15908028 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000008/img_00688762.jpeg 14182
counter, i, fname, cls 1250000 9513907 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000002/img_00712934.jpeg 14176
counter, i, fname, cls 1260000 12137003 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000005/img_00511480.jpeg 14179
counter, i, fname, cls 1270000 2020751 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/Y/class_1481/img_0295.jpeg 6749
counter, i, fname, cls 1280000 11951479 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000005/img_00325956.jpeg 14179
counter, i, fname, cls 1290000 14795121 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000007/img_00189888.jpeg 14181
counter, i, fname, cls 1300000 2202203 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ava_test/class_0438/img_0075.jpeg 7355
counter, i, fname, cls 1310000 7087731 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000000/img_02840244.jpeg 14174
counter, i, fname, cls 1320000 11593348 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000004/img_00192456.jpeg 14178
counter, i, fname, cls 1330000 8721178 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000000/img_04473691.jpeg 14174
counter, i, fname, cls 1340000 13911278 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000006/img_00800014.jpeg 14180
counter, i, fname, cls 1350000 14665469 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ego4d/class_00000007/img_00060236.jpeg 14181
counter, i, fname, cls 1360000 589412 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/P06/class_0018/img_0051.jpeg 1968
counter, i, fname, cls 1370000 3233146 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ava_trainval/class_1535/img_0058.jpeg 10792
counter, i, fname, cls 1380000 2303578 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/ava_test/class_0776/img_0050.jpeg 7693
counter, i, fname, cls 1390000 1615670 /misc/vlgscratch5/LakeGroup/emin/sayavakepicut/1fps_300s/Y/class_0131/img_0214.jpeg 5399
